Ticker,Sector,EnterpriseValue,EBITDA,ForwardPE,TrailingPE,Beta,TotalRevenue,EBIT,PretaxIncome,TaxProvision,TotalAssets,TotalEquity,TotalDebt,CashAndEquivalents
MMM,Industrials,94186766336.0,7373000000.0,18.855309,25.953821,1.148,24575000000.0,6010000000.0,4819000000.0,804000000.0,39868000000.0,3842000000.0,13659000000.0,5600000000.0
AOS,Industrials,9529010176.0,786500000.0,16.587528,18.44609,1.335,3818100000.0,707700000.0,701000000.0,167400000.0,3240000000.0,1883500000.0,216700000.0,239600000.0
ABT,Health Care,225884471296.0,10790000000.0,22.362432,15.944723,0.714,41950000000.0,7572000000.0,7013000000.0,-6389000000.0,81414000000.0,47664000000.0,15021000000.0,7616000000.0
ABBV,Health Care,459663048704.0,14910000000.0,15.794969,170.54544,0.349,56334000000.0,6524000000.0,3716000000.0,-570000000.0,135161000000.0,3325000000.0,67144000000.0,5524000000.0
ACN,Information Technology,167500529664.0,11867333000.0,17.972982,21.984774,1.261,69672977000.0,10498948000.0,10270393000.0,2437993000.0,65394897000.0,31195446000.0,8182866000.0,11478729000.0
ADBE,Information Technology,147946225664.0,7957000000.0,13.572288,21.397604,1.54,21505000000.0,7100000000.0,6931000000.0,1371000000.0,30230000000.0,14105000000.0,6056000000.0,7613000000.0
AMD,Information Technology,319158321152.0,5258000000.0,31.881664,108.08421,1.927,25785000000.0,2081000000.0,1989000000.0,381000000.0,69226000000.0,57568000000.0,2212000000.0,3787000000.0
AES,Utilities,46401388544.0,3643000000.0,5.915127,9.00329,1.001,12278000000.0,2379000000.0,894000000.0,59000000.0,47406000000.0,3644000000.0,29018000000.0,1524000000.0
A,Health Care,40247209984.0,1874000000.0,21.03909,30.271929,1.274,6510000000.0,1617000000.0,1521000000.0,232000000.0,11846000000.0,5898000000.0,3390000000.0,1329000000.0
APD,Materials,73727885312.0,1337500000.0,17.848688,,0.863,12037300000.0,-226700000.0,-440700000.0,-94300000.0,41059500000.0,15024900000.0,18406200000.0,1856000000.0
